Team,Name,FGA,TS%,eFG%,% shots at rim,FG% at rim,%assisted at rim,% shots 2pt J,FG% 2pt Jumpers,%assisted 2pt J,%of shots 3pt,3FG%,%assisted 3s,FTA/FGA,FT%,
UC Santa Barbara,Williams Alan,371,0.524,46.9%,43.7%,56.2%,58.2%,56.3%,39.7%,66.3%,0.0%,---,---,48.8%,72.4%,
UC Santa Barbara,Brown Taran,342,0.473,45.6%,21.6%,63.5%,48.9%,24.0%,26.8%,40.9%,54.4%,31.2%,84.5%,14.0%,68.8%,
UC Santa Barbara,Boswell Kyle,264,0.616,58.7%,11.7%,67.7%,33.3%,17.8%,36.2%,29.4%,70.5%,41.9%,80.8%,34.1%,75.6%,
UC Santa Barbara,Bryson Michael,215,0.527,49.3%,16.3%,77.1%,37.0%,17.7%,26.3%,70.0%,66.0%,32.4%,97.8%,22.8%,79.6%,
UC Santa Barbara,Taylor T.J.,119,0.578,56.3%,20.2%,66.7%,31.2%,13.4%,18.8%,66.7%,66.4%,40.5%,75.0%,16.0%,73.7%,
UC Santa Barbara,Garth Nate,85,0.502,45.9%,42.4%,52.8%,5.3%,11.8%,20.0%,0.0%,45.9%,30.8%,75.0%,41.2%,68.6%,
UC Santa Barbara,Beeler Sam,62,0.538,58.1%,66.1%,70.7%,69.0%,33.9%,33.3%,57.1%,0.0%,---,---,51.6%,34.4%,
UC Santa Barbara,Thomas Lewis,62,0.414,40.3%,21.0%,38.5%,80.0%,22.6%,14.3%,100.0%,56.5%,34.3%,91.7%,19.4%,50.0%,
UC Santa Barbara,DaRe Duke,46,0.274,23.9%,19.6%,55.6%,80.0%,10.9%,0.0%,---,69.6%,12.5%,75.0%,15.2%,71.4%,
UC Santa Barbara,Brewe Mitch,38,0.543,52.6%,65.8%,68.0%,76.5%,31.6%,25.0%,66.7%,2.6%,0.0%,---,44.7%,58.8%,
UC Santa Barbara,Hornbuckle Keegan,30,0.582,56.7%,30.0%,77.8%,42.9%,43.3%,30.8%,75.0%,26.7%,50.0%,100.0%,6.7%,100.0%,
UC Santa Barbara,Moore Shawn,29,0.572,60.3%,75.9%,63.6%,85.7%,10.3%,66.7%,100.0%,13.8%,25.0%,100.0%,24.1%,28.6%,
UC Santa Barbara,Dunklin Dalante,6,0.339,16.7%,66.7%,0.0%,---,16.7%,100.0%,0.0%,16.7%,0.0%,---,100.0%,66.7%,
UC Santa Barbara,Walker Aamahd,6,0.386,33.3%,33.3%,50.0%,100.0%,50.0%,33.3%,0.0%,16.7%,0.0%,---,16.7%,100.0%,
UC Santa Barbara,Total,1675,0.523,49.3%,29.1%,61.4%,52.2%,28.3%,33.1%,58.0%,42.6%,34.6%,84.6%,30.2%,69.2%,
Toledo,Pearson Rian,380,0.525,46.1%,41.3%,65.6%,49.5%,51.3%,32.3%,42.9%,7.4%,21.4%,66.7%,54.5%,73.4%,
Toledo,Brown Julius,325,0.493,44.9%,24.6%,61.2%,14.3%,38.5%,39.2%,14.3%,36.9%,26.7%,62.5%,30.5%,75.8%,
Toledo,Buckley Dominique,222,0.551,51.6%,11.7%,65.4%,29.4%,18.0%,30.0%,16.7%,70.3%,36.5%,93.0%,22.5%,84.0%,
Toledo,Boothe Nathan,214,0.491,46.3%,24.8%,60.4%,65.6%,72.0%,41.6%,65.6%,3.3%,28.6%,100.0%,22.0%,72.3%,
Toledo,Smith Matt,176,0.656,61.4%,29.0%,70.6%,63.9%,25.0%,40.9%,66.7%,46.0%,44.4%,91.7%,40.3%,83.1%,
Toledo,Holliday Reese,154,0.571,50.3%,31.2%,54.2%,42.3%,15.6%,33.3%,50.0%,53.2%,35.4%,100.0%,49.4%,81.6%,
Toledo,Lemons Josh,38,0.327,28.9%,23.7%,33.3%,33.3%,34.2%,38.5%,80.0%,42.1%,12.5%,50.0%,26.3%,60.0%,
Toledo,Wonnell Richard,20,0.545,50.0%,80.0%,43.8%,42.9%,15.0%,100.0%,33.3%,5.0%,0.0%,---,50.0%,70.0%,
Toledo,Ewing James,6,0.113,0.0%,66.7%,0.0%,---,33.3%,0.0%,---,0.0%,---,---,100.0%,33.3%,
Toledo,Mathew Aj,3,0.506,50.0%,0.0%,---,---,0.0%,---,---,100.0%,33.3%,100.0%,66.7%,50.0%,
Toledo,Schwiebert Brendon,1,1.500,150.0%,0.0%,---,---,0.0%,---,---,100.0%,100.0%,100.0%,0.0%,---,
Toledo,Dear Delino,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Toledo,RANDALLKYLE,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Toledo,STEWARTAUSTIN,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Toledo,Total,1540,0.531,48.3%,28.8%,61.5%,44.7%,39.0%,37.0%,44.6%,32.2%,33.5%,86.7%,37.5%,76.1%,
Indiana,Zeller Cody,354,0.623,56.2%,68.4%,62.4%,57.6%,31.1%,43.6%,43.8%,0.6%,0.0%,---,73.2%,75.7%,
Indiana,Oladipo Victor,304,0.671,64.8%,60.2%,69.9%,35.9%,17.4%,45.3%,25.0%,22.4%,44.1%,80.0%,42.8%,74.6%,
Indiana,Watford Christian,294,0.599,53.4%,33.7%,49.5%,46.9%,24.1%,25.4%,16.7%,42.2%,48.4%,90.0%,54.1%,81.1%,
Indiana,Sheehey Will,259,0.563,54.1%,35.5%,67.4%,64.5%,33.2%,41.9%,47.2%,31.3%,34.6%,100.0%,37.1%,65.6%,
Indiana,Hulls Jordan,259,0.616,59.8%,5.0%,53.8%,28.6%,25.5%,42.4%,10.7%,69.5%,44.4%,81.2%,18.9%,77.6%,
Indiana,Ferrell Kevin Yogi,226,0.511,45.4%,37.6%,52.9%,11.1%,28.8%,35.4%,13.0%,33.6%,30.3%,69.6%,37.2%,79.8%,
Indiana,Abell Remy,98,0.596,55.1%,42.9%,54.8%,34.8%,23.5%,30.4%,57.1%,33.7%,48.5%,93.8%,49.0%,75.0%,
Indiana,Hollowell Jeremy,77,0.489,44.8%,41.6%,53.1%,47.1%,19.5%,46.7%,28.6%,39.0%,23.3%,100.0%,49.4%,63.2%,
Indiana,Creek Maurice,52,0.405,38.5%,21.2%,36.4%,25.0%,19.2%,10.0%,100.0%,59.6%,32.3%,100.0%,9.6%,80.0%,
Indiana,Elston Derek,21,0.408,33.3%,47.6%,40.0%,75.0%,9.5%,0.0%,---,42.9%,22.2%,100.0%,47.6%,70.0%,
Indiana,Mosquera-Perea Hanner,13,0.403,38.5%,69.2%,44.4%,50.0%,30.8%,25.0%,0.0%,0.0%,---,---,130.8%,41.2%,
Indiana,Etherington Austin,7,0.630,64.3%,57.1%,75.0%,66.7%,0.0%,---,---,42.9%,33.3%,100.0%,100.0%,57.1%,
Indiana,Smith Raphael,3,0.667,66.7%,100.0%,66.7%,100.0%,0.0%,---,---,0.0%,---,---,0.0%,---,
Indiana,Howard Jeff,3,0.506,66.7%,100.0%,66.7%,100.0%,0.0%,---,---,0.0%,---,---,66.7%,0.0%,
Indiana,Wayer Taylor,1,0.000,0.0%,0.0%,---,---,100.0%,0.0%,---,0.0%,---,---,0.0%,---,
Indiana,Jurkin Peter,1,0.000,0.0%,0.0%,---,---,100.0%,0.0%,---,0.0%,---,---,0.0%,---,
Indiana,Total,1972,0.589,54.7%,42.0%,60.5%,46.1%,25.7%,38.1%,31.1%,32.3%,40.3%,86.4%,45.8%,74.3%,
North Carolina St.,Leslie C.J.,370,0.550,52.2%,55.7%,68.0%,42.1%,42.7%,31.6%,22.0%,1.6%,33.3%,50.0%,62.7%,61.2%,
North Carolina St.,Brown Lorenzo,334,0.509,44.9%,41.0%,59.9%,17.1%,36.2%,31.4%,7.9%,22.8%,26.3%,65.0%,41.9%,77.1%,
North Carolina St.,Howell Richard,321,0.587,57.0%,63.2%,61.1%,47.6%,36.8%,50.0%,39.0%,0.0%,---,---,38.0%,64.8%,
North Carolina St.,Warren T.J.,299,0.638,64.5%,47.8%,75.5%,61.1%,43.1%,49.6%,64.1%,9.0%,51.9%,85.7%,24.1%,54.2%,
North Carolina St.,Wood Scott,289,0.662,61.6%,4.8%,64.3%,88.9%,13.5%,33.3%,76.9%,81.7%,44.1%,92.3%,32.2%,91.4%,
North Carolina St.,Purvis Rodney,249,0.507,50.2%,42.6%,50.9%,66.7%,26.1%,40.0%,19.2%,31.3%,38.5%,93.3%,32.9%,51.2%,
North Carolina St.,Lewis Tyler,74,0.565,42.6%,31.1%,65.2%,40.0%,36.5%,22.2%,16.7%,32.4%,29.2%,71.4%,86.5%,85.9%,
North Carolina St.,Vandenberg Jordan,16,0.475,50.0%,50.0%,50.0%,75.0%,43.8%,57.1%,75.0%,6.2%,0.0%,---,25.0%,25.0%,
North Carolina St.,DE,11,0.682,68.2%,18.2%,50.0%,0.0%,18.2%,100.0%,0.0%,63.6%,42.9%,100.0%,0.0%,---,
North Carolina St.,Lewis Jay,11,0.273,27.3%,0.0%,---,---,18.2%,0.0%,---,81.8%,22.2%,0.0%,0.0%,---,
North Carolina St.,Battle Staats,7,0.357,35.7%,14.3%,100.0%,100.0%,0.0%,---,---,85.7%,16.7%,100.0%,0.0%,---,
North Carolina St.,Robinson Jevoni,4,0.424,25.0%,75.0%,33.3%,0.0%,25.0%,0.0%,---,0.0%,---,---,100.0%,75.0%,
North Carolina St.,Cannon Chase,2,0.750,75.0%,0.0%,---,---,50.0%,0.0%,---,50.0%,100.0%,100.0%,0.0%,---,
North Carolina St.,Total,1987,0.571,54.2%,42.6%,63.7%,46.8%,33.7%,39.1%,37.0%,23.7%,39.1%,87.0%,40.9%,68.1%,
Brown,McGonagill Sean,351,0.505,48.3%,23.1%,51.9%,23.8%,27.4%,37.5%,19.4%,49.6%,35.1%,72.1%,22.2%,67.9%,
Brown,Sullivan Matt,308,0.539,49.8%,30.8%,63.2%,48.3%,18.8%,24.1%,35.7%,50.3%,34.2%,86.8%,39.9%,71.5%,
Brown,Maia Rafael,223,0.508,50.4%,87.9%,55.1%,50.9%,8.5%,15.8%,0.0%,3.6%,12.5%,100.0%,63.7%,49.3%,
Brown,Halpern Tucker,212,0.503,48.1%,9.4%,55.0%,36.4%,20.8%,22.7%,20.0%,69.8%,36.5%,87.0%,14.6%,77.4%,
Brown,Kuakumensah Cedric,178,0.443,40.4%,52.2%,52.7%,51.0%,47.8%,27.1%,47.8%,0.0%,---,---,47.2%,58.3%,
Brown,Albrecht Stephen,79,0.549,54.4%,2.5%,100.0%,100.0%,13.9%,45.5%,0.0%,83.5%,36.4%,95.8%,17.7%,57.1%,
Brown,Ponticelli Tyler,54,0.587,51.9%,81.5%,52.3%,73.9%,18.5%,50.0%,20.0%,0.0%,---,---,68.5%,75.7%,
Brown,Sharkey Joe,45,0.411,41.1%,6.7%,100.0%,33.3%,24.4%,18.2%,50.0%,68.9%,29.0%,100.0%,0.0%,---,
Brown,Yiljep Lonji,21,0.387,35.7%,14.3%,66.7%,100.0%,28.6%,16.7%,0.0%,57.1%,25.0%,100.0%,9.5%,100.0%,
Brown,Schmidt Jon,19,0.334,31.6%,47.4%,44.4%,50.0%,52.6%,20.0%,50.0%,0.0%,---,---,5.3%,100.0%,
Brown,Total,1490,0.504,47.8%,36.6%,55.7%,48.4%,23.5%,28.9%,27.7%,39.9%,34.5%,84.4%,34.4%,63.1%,
Wright St.,Arceneaux Reggie,292,0.474,44.7%,15.4%,48.9%,0.0%,38.0%,34.2%,21.1%,46.6%,34.6%,78.7%,19.9%,72.4%,
Wright St.,Dixon Miles,267,0.489,43.8%,20.6%,52.7%,27.6%,59.2%,38.6%,11.5%,20.2%,33.3%,88.9%,35.6%,74.7%,
Wright St.,Young Jerran,222,0.594,57.9%,50.0%,62.2%,43.5%,27.0%,46.7%,57.1%,23.0%,41.2%,95.2%,41.9%,63.4%,
Wright St.,Darling Cole,193,0.556,50.5%,32.6%,65.1%,58.5%,38.3%,37.8%,57.1%,29.0%,33.9%,100.0%,33.7%,83.1%,
Wright St.,Yoho JT,179,0.574,54.7%,26.8%,58.3%,42.9%,22.9%,31.7%,38.5%,50.3%,42.2%,97.4%,29.1%,73.1%,
Wright St.,Griffin Kendall,163,0.602,57.4%,30.1%,77.6%,47.4%,12.9%,42.9%,33.3%,57.1%,33.3%,96.8%,33.1%,74.1%,
Wright St.,Vest Matt,163,0.533,53.1%,51.5%,64.3%,35.2%,10.4%,23.5%,25.0%,38.0%,30.6%,100.0%,30.7%,52.0%,
Wright St.,Pacher Aj,145,0.517,46.6%,29.0%,64.3%,74.1%,44.8%,41.5%,51.9%,26.2%,23.7%,100.0%,39.3%,75.4%,
Wright St.,Sledge Tavares,140,0.438,42.1%,52.1%,53.4%,56.4%,42.9%,33.3%,60.0%,5.0%,0.0%,---,31.4%,52.3%,
Wright St.,Bramanti Joe,40,0.521,41.2%,57.5%,52.2%,41.7%,20.0%,37.5%,0.0%,22.5%,11.1%,100.0%,77.5%,77.4%,
Wright St.,Roddy Jacoby,8,0.505,37.5%,62.5%,60.0%,66.7%,25.0%,0.0%,---,12.5%,0.0%,---,50.0%,100.0%,
Wright St.,Drummond Bobo,6,0.360,25.0%,0.0%,---,---,16.7%,0.0%,---,83.3%,20.0%,100.0%,33.3%,100.0%,
Wright St.,Collie Daniel,4,0.250,25.0%,0.0%,---,---,100.0%,25.0%,0.0%,0.0%,---,---,0.0%,---,
Wright St.,Gossard Stephen,4,0.707,75.0%,75.0%,100.0%,0.0%,25.0%,0.0%,---,0.0%,---,---,50.0%,50.0%,
Wright St.,MORGANMELVIN,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
Wright St.,Total,1826,0.528,49.5%,32.9%,60.7%,43.8%,34.1%,37.2%,35.3%,33.0%,33.9%,92.6%,33.2%,70.3%,
UC Irvine,Starring Daman,373,0.545,50.7%,20.1%,56.0%,26.2%,32.4%,32.2%,17.9%,47.5%,40.7%,80.6%,29.2%,78.0%,
UC Irvine,Wilder Michael,306,0.472,46.7%,16.7%,58.8%,33.3%,8.5%,19.2%,80.0%,74.8%,31.4%,93.1%,22.5%,49.3%,
UC Irvine,McNealy Chris,298,0.505,47.0%,19.5%,63.8%,24.3%,50.7%,38.4%,48.3%,29.9%,33.7%,86.7%,28.5%,72.9%,
