Team,Name,FGA,TS%,eFG%,% shots at rim,FG% at rim,%assisted at rim,% shots 2pt J,FG% 2pt Jumpers,%assisted 2pt J,%of shots 3pt,3FG%,%assisted 3s,FTA/FGA,FT%,
UC Santa Barbara,Vincent Gabe,276,0.482,44.7%,15.2%,61.9%,53.8%,28.6%,26.6%,33.3%,56.2%,32.9%,72.5%,22.8%,76.2%,
UC Santa Barbara,Childress Eric,247,0.490,46.6%,19.4%,43.8%,23.8%,27.1%,37.3%,16.0%,53.4%,34.8%,84.8%,15.8%,76.9%,
UC Santa Barbara,Heidegger Max,205,0.393,31.0%,30.7%,34.9%,22.7%,28.8%,27.1%,6.2%,40.5%,20.5%,76.5%,46.8%,72.9%,
UC Santa Barbara,Powell Clifton,185,0.421,40.8%,23.2%,51.2%,13.6%,48.1%,28.1%,8.0%,28.6%,35.8%,73.7%,19.5%,52.8%,
UC Santa Barbara,Hart Alex,180,0.486,45.6%,46.1%,65.1%,61.1%,46.7%,33.3%,60.7%,7.2%,0.0%,---,45.6%,59.8%,
UC Santa Barbara,Terrell Christian,97,0.299,28.4%,26.8%,53.8%,64.3%,38.1%,24.3%,77.8%,35.1%,8.8%,100.0%,21.6%,42.9%,
UC Santa Barbara,Slajchert J.D.,93,0.445,40.9%,36.6%,44.1%,66.7%,63.4%,39.0%,69.6%,0.0%,---,---,23.7%,72.7%,
UC Santa Barbara,Kupchak Maxwell,91,0.385,33.0%,30.8%,57.1%,56.2%,63.7%,24.1%,71.4%,5.5%,0.0%,---,29.7%,74.1%,
UC Santa Barbara,Canty Jalen,78,0.536,55.1%,61.5%,62.5%,56.7%,38.5%,43.3%,30.8%,0.0%,---,---,46.2%,44.4%,
UC Santa Barbara,Blackmon Jarriesse,67,0.466,48.5%,31.3%,61.9%,53.8%,64.2%,41.9%,61.1%,4.5%,33.3%,100.0%,38.8%,34.6%,
UC Santa Barbara,Lakoju Ami,49,0.592,61.2%,83.7%,63.4%,57.7%,16.3%,50.0%,100.0%,0.0%,---,---,32.7%,43.8%,
UC Santa Barbara,Osifeso Tide,42,0.376,35.7%,11.9%,40.0%,50.0%,14.3%,16.7%,0.0%,73.8%,25.8%,62.5%,9.5%,75.0%,
UC Santa Barbara,Walters Sam,25,0.597,58.0%,8.0%,50.0%,100.0%,4.0%,0.0%,---,88.0%,40.9%,88.9%,8.0%,100.0%,
UC Santa Barbara,Jackson Tyler,15,0.588,60.0%,80.0%,66.7%,62.5%,20.0%,33.3%,0.0%,0.0%,---,---,40.0%,50.0%,
UC Santa Barbara,White Felix,1,0.000,0.0%,0.0%,---,---,100.0%,0.0%,---,0.0%,---,---,0.0%,---,
UC Santa Barbara,Pickles Andrew,0,1.053,0.0%,---,---,---,---,---,---,---,---,---,---,100.0%,
UC Santa Barbara,OWIESMATTHEW,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
UC Santa Barbara,Total,1651,0.453,42.3%,30.0%,54.4%,49.6%,37.8%,31.7%,41.9%,32.2%,29.0%,77.9%,29.0%,63.4%,
Toledo,Williams Jonathan,447,0.565,51.6%,43.8%,59.7%,48.7%,13.0%,37.9%,22.7%,43.2%,31.6%,77.0%,36.0%,81.4%,
Toledo,Taylor Jr. Steve,374,0.530,53.5%,61.2%,65.1%,46.3%,25.7%,37.5%,41.7%,13.1%,20.4%,80.0%,38.0%,47.9%,
Toledo,Sanford Jaelan,307,0.579,54.9%,25.1%,61.0%,27.7%,27.0%,39.8%,30.3%,47.9%,40.1%,83.1%,33.9%,73.1%,
Toledo,Navigato Nate,218,0.601,56.7%,15.1%,60.6%,35.0%,16.1%,25.7%,66.7%,68.8%,42.0%,92.1%,31.2%,79.4%,
Toledo,Lauf Jordan,150,0.672,65.3%,58.7%,75.0%,63.6%,4.7%,28.6%,100.0%,36.7%,36.4%,100.0%,58.0%,70.1%,
Toledo,Knapke Luke,135,0.663,64.4%,57.8%,75.6%,76.3%,21.5%,24.1%,85.7%,20.7%,50.0%,100.0%,34.1%,73.9%,
Toledo,Adway Taylor,43,0.516,51.2%,51.2%,59.1%,53.8%,48.8%,42.9%,44.4%,0.0%,---,---,93.0%,50.0%,
Toledo,Dzierzawski Daniel,42,0.509,44.0%,50.0%,57.1%,0.0%,35.7%,33.3%,0.0%,14.3%,16.7%,100.0%,35.7%,86.7%,
Toledo,Garber Zach,35,0.557,48.6%,68.6%,54.2%,53.8%,31.4%,36.4%,100.0%,0.0%,---,---,102.9%,66.7%,
Toledo,Roberts Justin,29,0.542,53.4%,13.8%,50.0%,0.0%,17.2%,60.0%,66.7%,69.0%,35.0%,100.0%,17.2%,60.0%,
Toledo,Antunez Lucas,11,0.405,22.7%,45.5%,20.0%,100.0%,9.1%,0.0%,---,45.5%,20.0%,100.0%,72.7%,87.5%,
Toledo,Schaffer Matt,3,0.678,50.0%,0.0%,---,---,33.3%,0.0%,---,66.7%,50.0%,100.0%,100.0%,100.0%,
