Team,Name,FGA,TS%,eFG%,% shots at rim,FG% at rim,%assisted at rim,% shots 2pt J,FG% 2pt Jumpers,%assisted 2pt J,%of shots 3pt,3FG%,%assisted 3s,FTA/FGA,FT%,
UC Santa Barbara,Bryson Michael,360,0.574,53.9%,24.2%,69.0%,56.7%,23.3%,38.1%,50.0%,52.5%,36.0%,91.2%,22.8%,85.4%,
UC Santa Barbara,Williams Alan,349,0.524,45.8%,30.1%,59.0%,50.0%,69.1%,40.7%,65.3%,0.9%,0.0%,---,48.1%,76.8%,
UC Santa Barbara,Green John,321,0.535,52.0%,29.6%,63.2%,60.0%,46.7%,43.3%,58.5%,23.7%,36.8%,85.7%,18.7%,66.7%,
UC Santa Barbara,Vincent Gabe,229,0.562,54.8%,14.8%,55.9%,15.8%,25.3%,36.2%,33.3%,59.8%,41.6%,80.7%,21.8%,66.0%,
UC Santa Barbara,Harmon Zalmico,155,0.510,43.5%,16.8%,46.2%,25.0%,35.5%,27.3%,6.7%,47.7%,36.5%,74.1%,45.2%,81.4%,
UC Santa Barbara,Brewe Mitch,103,0.504,48.1%,46.6%,47.9%,65.2%,30.1%,41.9%,69.2%,23.3%,37.5%,100.0%,35.0%,61.1%,
UC Santa Barbara,Smith Dajuan,84,0.486,46.4%,52.4%,63.6%,60.7%,39.3%,24.2%,62.5%,8.3%,28.6%,100.0%,34.5%,58.6%,
UC Santa Barbara,Childress Eric,83,0.464,40.4%,38.6%,59.4%,68.4%,30.1%,16.0%,25.0%,31.3%,26.9%,57.1%,49.4%,68.3%,
UC Santa Barbara,Beeler Sam,59,0.507,49.2%,55.9%,63.6%,57.1%,44.1%,30.8%,37.5%,0.0%,---,---,25.4%,60.0%,
UC Santa Barbara,Taylor T.J.,45,0.533,50.0%,11.1%,40.0%,0.0%,11.1%,20.0%,100.0%,77.8%,37.1%,69.2%,17.8%,87.5%,
UC Santa Barbara,Hart Alex,22,0.606,56.8%,13.6%,66.7%,50.0%,27.3%,50.0%,100.0%,59.1%,38.5%,100.0%,50.0%,72.7%,
UC Santa Barbara,Ford Hunter,18,0.765,77.8%,11.1%,100.0%,0.0%,0.0%,---,---,88.9%,50.0%,87.5%,11.1%,50.0%,
UC Santa Barbara,Lakoju Ami,6,0.500,50.0%,66.7%,50.0%,100.0%,33.3%,50.0%,100.0%,0.0%,---,---,0.0%,---,
UC Santa Barbara,Burks Justin,2,0.750,75.0%,0.0%,---,---,0.0%,---,---,100.0%,50.0%,100.0%,0.0%,---,
UC Santa Barbara,NORELIAMARC-EDDY,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
UC Santa Barbara,MCKNIGHTERIC,0,0.000,0.0%,---,---,---,---,---,---,---,---,---,---,---,
UC Santa Barbara,Total,1836,0.536,50.0%,28.2%,60.2%,53.5%,39.0%,37.6%,55.4%,32.8%,37.4%,84.0%,31.2%,73.6%,
Toledo,Brown Julius,416,0.582,54.6%,20.9%,59.8%,13.5%,38.2%,45.9%,15.1%,40.9%,40.0%,50.0%,23.6%,85.7%,
Toledo,Drummond Justin,303,0.581,52.6%,42.6%,62.8%,54.3%,32.7%,35.4%,28.6%,24.8%,38.7%,89.7%,47.9%,77.9%,
Toledo,Weatherspoon J.D.,277,0.602,58.1%,66.1%,68.9%,61.1%,23.8%,30.3%,40.0%,10.1%,35.7%,70.0%,58.8%,64.4%,
Toledo,Williams Jonathan,270,0.548,51.9%,34.4%,49.5%,47.8%,12.2%,48.5%,25.0%,53.3%,36.1%,88.5%,28.5%,72.7%,
