Team,Name,FGA,TS%,eFG%,% shots at rim,FG% at rim,%assisted at rim,% shots 2pt J,FG% 2pt Jumpers,%assisted 2pt J,%of shots 3pt,3FG%,%assisted 3s,FTA/FGA,FT%,
UC Santa Barbara,Bryson Michael,424,0.597,56.1%,25.5%,73.1%,46.8%,30.4%,39.5%,37.3%,44.1%,38.5%,80.6%,29.2%,81.5%,
UC Santa Barbara,Vincent Gabe,401,0.534,50.6%,18.7%,57.3%,20.9%,29.4%,33.9%,32.5%,51.9%,38.5%,76.2%,18.2%,80.8%,
UC Santa Barbara,Green John,232,0.491,44.8%,28.4%,54.5%,33.3%,39.7%,31.5%,41.4%,31.9%,35.1%,92.3%,38.8%,68.9%,
UC Santa Barbara,Childress Eric,188,0.538,51.1%,33.0%,50.0%,38.7%,29.3%,30.9%,5.9%,37.8%,45.1%,78.1%,17.6%,81.8%,
UC Santa Barbara,Beeler Sam,140,0.674,72.1%,79.3%,80.2%,78.7%,20.7%,41.4%,16.7%,0.0%,---,---,35.0%,36.7%,
UC Santa Barbara,Brewe Mitch,133,0.556,51.1%,51.1%,64.7%,68.2%,38.3%,41.2%,71.4%,10.5%,14.3%,100.0%,41.4%,74.5%,
UC Santa Barbara,Kupchak Maxwell,113,0.461,41.2%,33.6%,65.8%,68.0%,40.7%,23.9%,63.6%,25.7%,24.1%,100.0%,38.1%,69.8%,
UC Santa Barbara,Taylor T.J.,86,0.405,40.7%,10.5%,44.4%,0.0%,29.1%,28.0%,28.6%,60.5%,30.8%,75.0%,1.2%,0.0%,
UC Santa Barbara,Smith Dajuan,82,0.443,41.5%,40.2%,57.6%,52.6%,47.6%,30.8%,50.0%,12.2%,20.0%,100.0%,26.8%,63.6%,
UC Santa Barbara,Hart Alex,61,0.517,52.5%,26.2%,56.2%,66.7%,36.1%,50.0%,45.5%,37.7%,34.8%,75.0%,23.0%,42.9%,
UC Santa Barbara,Blackmon Jarriesse,56,0.321,28.6%,39.3%,36.4%,50.0%,39.3%,22.7%,40.0%,21.4%,16.7%,50.0%,17.9%,70.0%,
UC Santa Barbara,Troutt Grant,12,0.458,45.8%,8.3%,100.0%,0.0%,16.7%,0.0%,---,75.0%,33.3%,100.0%,0.0%,---,
UC Santa Barbara,Lakoju Ami,10,0.336,40.0%,70.0%,57.1%,100.0%,30.0%,0.0%,---,0.0%,---,---,40.0%,0.0%,
UC Santa Barbara,Burks Justin,3,0.000,0.0%,0.0%,---,---,33.3%,0.0%,---,66.7%,0.0%,---,0.0%,---,
UC Santa Barbara,Walters Sam,3,0.000,0.0%,0.0%,---,---,0.0%,---,---,100.0%,0.0%,---,0.0%,---,
